source,price,area_m2,flat_rooms,has_kk,has_lift,has_balcony,has_parking,floor,condition,furnished,ownership,locality,lat,lon
sreality,16399005,139,5,1,0,1,1,1,novostavba,vybavene,osobni,Praha,50.178234,14.478748
sreality,10490000,52,2,1,1,1,1,6,novostavba,vybavene,osobni,Praha 9,50.103771,14.520177
sreality,7950000,55,2,1,1,1,0,1,velmi dobre,vybavene,osobni,Brno,49.190563,16.604223
sreality,6900000,30,1,0,1,0,0,3,dobre,vybavene,osobni,Praha 3,50.08802,14.459814
sreality,15999000,89,2,0,1,0,0,2,velmi dobre,vybavene,osobni,Praha 1,50.07914,14.42746
sreality,3700000,39,1,1,1,0,0,6,dobre,vybavene,osobni,Plzeň,49.742882,13.382987
sreality,6350000,76,3,0,1,0,0,7,velmi dobre,vybavene,osobni,Plzeň,49.721355,13.377415
sreality,57992960,210,5,1,1,1,1,7,novostavba,vybavene,osobni,Praha 5,50.067234,14.405532
sreality,8500000,55,2,1,1,0,0,1,velmi dobre,vybavene,osobni,Praha 9,50.128319,14.500674
sreality,5990000,82,3,0,0,0,0,2,velmi dobre,vybavene,osobni,Plzeň,49.748219,13.41296
sreality,15540000,80,3,0,1,1,1,1,novostavba,vybavene,osobni,Praha 10,50.044991,14.523657
sreality,13550000,71,3,1,1,1,1,2,novostavba,vybavene,osobni,Praha 3,50.088318,14.4792
sreality,8250000,57,2,1,1,1,1,4,novostavba,vybavene,osobni,Praha 9,50.101017,14.50702
sreality,6990000,109,4,0,0,0,1,3,dobre,vybavene,osobni,Liberec,50.76265,15.040425
sreality,6390000,30,1,1,1,0,0,6,velmi dobre,vybavene,osobni,Praha 3,50.086266,14.448222
sreality,65055620,227,5,1,1,1,1,7,novostavba,vybavene,osobni,Praha 5,50.067234,14.405532
sreality,26820000,158,4,1,0,1,1,1,novostavba,vybavene,osobni,Praha 9,50.100903,14.685581
sreality,9100000,72,3,0,1,1,0,8,velmi dobre,vybavene,osobni,Praha 4,50.036919,14.520226
sreality,9900000,61,2,1,1,1,1,4,novostavba,vybavene,osobni,Praha 9,50.103756,14.515195
sreality,12150000,71,2,1,1,1,1,5,novostavba,vybavene,osobni,Praha 9,50.103756,14.515195
sreality,13100000,81,3,1,1,1,1,4,novostavba,vybavene,osobni,Praha 9,50.103756,14.515195
sreality,8100000,62,3,1,0,0,0,1,novostavba,vybavene,osobni,Praha,49.99395,14.602228
sreality,14990000,94,4,1,1,1,0,3,novostavba,vybavene,osobni,Praha 5,50.058033,14.279776
sreality,6990000,36,1,1,1,0,0,2,novostavba,vybavene,osobni,Praha 9,50.104679,14.488541
sreality,20490000,139,3,0,1,0,0,3,dobre,vybavene,osobni,Praha 5,50.080032,14.405857
sreality,7990000,51,2,1,1,0,0,5,dobre,vybavene,osobni,Praha 6,50.086277,14.374228
sreality,23780000,109,3,1,0,0,0,2,velmi dobre,vybavene,osobni,Praha 1,50.087421,14.406035
sreality,9140096,79,3,1,1,1,1,10,novostavba,vybavene,osobni,Brno,49.173306,16.56781
sreality,8186724,52,2,1,1,1,1,1,novostavba,vybavene,osobni,Brno,49.173306,16.56781
sreality,8990000,70,3,0,0,1,0,3,velmi dobre,vybavene,osobni,Praha 9,50.112236,14.620522
sreality,10000000,81,3,1,1,1,1,1,novostavba,vybavene,osobni,Olomouc,49.569077,17.247663
sreality,8800000,75,3,1,1,1,0,6,novostavba,vybavene,osobni,Olomouc,49.577675,17.240726
sreality,6100000,53,2,1,1,1,0,1,novostavba,vybavene,osobni,Olomouc,49.576866,17.244226
sreality,23409200,104,4,1,1,1,1,5,novostavba,vybavene,osobni,Praha 5,50.067234,14.405532
sreality,6350000,47,2,1,0,0,0,2,dobre,vybavene,osobni,Praha 4,49.988033,14.411863
sreality,4410000,27,1,1,1,1,0,1,novostavba,vybavene,osobni,Brno,49.127892,16.614414
sreality,9990000,30,2,0,0,0,1,2,dobre,vybavene,osobni,Praha 1,50.083893,14.413526
sreality,18700000,169,4,1,0,1,0,5,velmi dobre,vybavene,osobni,Brno,49.20467,16.614653
sreality,5900000,56,2,1,1,1,1,6,velmi dobre,vybavene,osobni,Brno,49.199638,16.620007
sreality,5800000,55,2,1,1,0,1,5,velmi dobre,vybavene,osobni,Brno,49.199638,16.620007
sreality,4099000,63,2,0,0,0,1,5,velmi dobre,vybavene,osobni,Karlovy Vary,50.232861,12.871954
sreality,8950000,77,3,0,1,1,0,6,velmi dobre,vybavene,osobni,Praha 5,50.03558,14.338371
sreality,6990000,44,2,1,1,0,0,2,dobre,vybavene,osobni,Praha 6,50.086277,14.374228
sreality,7990000,88,3,0,0,1,0,1,velmi dobre,vybavene,osobni,Plzeň,49.745323,13.369148
