source,price,area_m2,flat_rooms,has_kk,has_lift,has_balcony,has_parking,floor,condition,furnished,ownership,locality,lat,lon,closest_stop_km,closest_train_km,closest_school_km,closest_kinder_km,closest_market_km,closest_hospital_km
sreality,3080000,62,3,0,0,0,1,3,velmi dobre,vybavene,osobni,Liberec,50.939022,15.127942,0.22500638320544078,1.625558490949423,3.310166216897562,3.410980878825781,3.2179754017454094,3.1460767406445673
sreality,5699000,70,3,0,0,1,0,4,velmi dobre,vybavene,osobni,Olomouc,49.582123,17.255695,0.06767730244446662,0.9583728095275702,0.26083844945882306,0.2626386042306816,0.48980834563310305,0.9781082322002012
sreality,8499500,50,2,1,1,0,0,1,velmi dobre,vybavene,osobni,Praha 8,50.115421,14.473253,0.11493468901187098,1.2743968974988156,0.35688511831208813,0.22271600720401563,0.0795626550572948,0.5468532301546176
sreality,10990000,83,3,1,1,1,1,2,novostavba,vybavene,osobni,Praha 4,50.025684,14.527186,0.28696529104785173,0.5763562591522502,0.05692849192447674,0.25104007786427407,0.3743647706343314,0.8979698973205101
sreality,12490000,106,3,1,0,1,1,2,velmi dobre,vybavene,osobni,Praha 10,50.051807,14.526802,0.14778290781809356,0.8981570892351182,0.4969099335293824,0.1765769025018827,0.40677475257331813,0.7284791576632922
sreality,6990000,40,2,1,1,0,0,3,velmi dobre,vybavene,osobni,Praha 8,50.115421,14.473253,0.11493468901187098,1.2743968974988156,0.35688511831208813,0.22271600720401563,0.0795626550572948,0.5468532301546176
sreality,32038880,111,4,1,1,1,1,6,novostavba,vybavene,osobni,Praha 5,50.067234,14.405532,0.10815544255236834,0.3542324288590359,0.515657797281328,0.2628460119020483,0.07763688568510314,0.79406077605637
sreality,7290000,58,2,0,0,0,0,1,dobre,vybavene,osobni,Brno,49.204964,16.678133,0.10787569258833536,3.0114636533140855,0.22319963976307267,0.33661138758763315,0.1950433279675541,1.2182325789017043
sreality,14100000,74,3,1,1,0,0,5,velmi dobre,vybavene,osobni,Praha 5,50.076477,14.407201,0.10507158064133292,0.7253939735139827,0.04759042152102314,0.356342449794031,0.10704400331952918,0.6193481762573767
sreality,9490000,43,2,1,1,1,0,1,velmi dobre,vybavene,osobni,Praha 10,50.070652,14.449091,0.16652545330086238,0.6832423265795172,0.23908310534302582,0.22550453257017178,0.09637949262281341,0.9648415392616108
sreality,14700000,70,2,1,1,1,1,8,novostavba,vybavene,osobni,Praha 3,50.084858,14.469376,0.07854743039835166,0.8788291770404262,0.37839958842861465,0.26657316328051567,0.06326717357623206,0.7429002380204074
sreality,9100000,97,4,0,0,1,0,2,dobre,vybavene,osobni,Praha,50.10453,14.580214,0.26424386747149337,0.5474623055767989,0.7728319788661895,0.03716648682307034,0.10567549375579277,2.5393343809839366
sreality,10799000,71,3,1,1,1,1,5,dobre,vybavene,osobni,Praha 3,50.089382,14.488245,0.11784822294629282,1.52468712628611,0.22575540323434864,0.4228480778315443,0.33428502690824663,0.39321642563678827
sreality,11099000,66,3,1,0,0,0,4,velmi dobre,vybavene,osobni,Praha 10,50.063641,14.473661,0.45563588054236426,1.2056783065653784,0.559729078595089,0.6457670722924123,0.19797629646698,0.893496276758413
sreality,10000000,81,4,1,1,1,0,2,velmi dobre,vybavene,osobni,Český Krumlov,48.647099,14.2211,0.3794729046338434,2.225198328410569,1.0918671129987654,3.6970067412248815,0.7786585648775202,4.017086709959512
sreality,6490000,37,1,0,1,0,1,2,velmi dobre,vybavene,osobni,Praha 4,50.013508,14.399951,0.1362672820482929,1.6747946554293842,0.5555577942137021,0.6618210769912078,0.6963574437723854,1.4110704013187725
sreality,23627360,99,4,1,1,1,1,5,novostavba,vybavene,osobni,Praha 5,50.067234,14.405532,0.10815544255236834,0.3542324288590359,0.515657797281328,0.2628460119020483,0.07763688568510314,0.79406077605637
sreality,39900000,160,4,1,1,1,0,7,velmi dobre,vybavene,osobni,Praha,50.085236,14.427776,0.1755591018802228,0.2984106656956129,0.23470848565256924,0.5353845558699604,0.0127302222699955,0.7037264329025327
sreality,8950000,71,3,1,0,1,0,4,dobre,vybavene,osobni,Praha 9,50.141403,14.514033,0.11094708289520981,0.9164887144717948,0.5828654091079032,0.3448433004238351,0.4262868486391375,0.49019207536931886
sreality,10400000,53,2,1,1,1,1,1,novostavba,vybavene,osobni,Praha 4,50.056118,14.466799,0.11290977372271371,0.41616332530727496,0.8866035992725202,0.4925200524483892,0.5283275516747362,1.1159981460286228
sreality,65817960,246,5,1,1,1,1,7,novostavba,vybavene,osobni,Praha 5,50.067234,14.405532,0.10815544255236834,0.3542324288590359,0.515657797281328,0.2628460119020483,0.07763688568510314,0.79406077605637
sreality,7450000,55,3,0,0,1,0,2,velmi dobre,vybavene,osobni,Praha 9,50.122528,14.490907,0.1866365222282672,0.41608488219086925,0.3412728999514886,0.14769104158165217,0.12893719284447894,0.6063939725735582
sreality,7200000,83,4,0,1,1,0,4,velmi dobre,vybavene,osobni,Plzeň,49.760647,13.355912,0.2385303067717384,3.017849937299492,0.26446429215298967,0.06279215506756321,0.1717836081932091,1.304677196676759
sreality,15900000,117,3,0,1,1,1,4,velmi dobre,vybavene,osobni,Praha 4,50.021126,14.488849,0.14648035261961348,1.1741791837671731,0.07617492076570014,0.15630243689363568,0.12372829843444579,0.0765565404536659
sreality,7250000,51,2,1,1,1,0,2,novostavba,vybavene,osobni,Praha,50.001194,14.342615,0.3702202826426829,2.300695282178466,1.8665581973564311,1.9551488881777828,2.0160130610691054,3.464562543420412
