source,name,price_czk,area_m2,flat_type,locality,lat,lon,has_lift,has_balcony,has_parking,floor,condition,furnished
idnes,Prodej bytu 3+1 73 m²,8990000,73,3+1,"Nad lesním divadlem, Praha 4 - Braník",50.02547206045003,14.438349892917623,0,1,0,4,dobrý stav,
idnes,Prodej bytu 1+kk 30 m²,4790000,30,1+kk,"Husitská, Praha 3 - Žižkov",50.086806471496494,14.445516493583265,0,0,0,,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 3+kk 61 m²,8999000,61,3+kk,"Černokostelecká, Praha 10 - Strašnice",50.077604983406175,14.5154144562809,0,1,0,2,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 4+kk 128 m²,5791733,128,4+kk,"Honzíkova, Praha 10 - Dolní Měcholupy, okres Praha",50.0674963,14.553986,1,1,0,4,novostavba,nevybaveny
idnes,Prodej bytu 3+kk 67 m²,5590000,67,3+kk,"Černá v Pošumaví, okres Český Krumlov",48.7378640177,14.1025810503,0,0,0,2,novostavba,vybaveny
idnes,Prodej bytu 2+kk 67 m²,10499000,67,2+kk,"V závětří, Praha 7 - Holešovice",50.11063514797069,14.4438973344425,1,0,0,3,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 2+kk 47 m²,4100000,47,2+kk,"Honzíkova, Praha 10 - Dolní Měcholupy, okres Praha",50.0674963,14.553986,1,1,0,1,novostavba,nevybaveny
idnes,Prodej bytu 2+1 57 m²,1700000,57,2+1,"Sídliště, Rotava, okres Sokolov",50.306113,12.55345,0,0,0,4,po rekonstrukci,nevybaveny
idnes,Prodej bytu 3+kk 55 m²,3697000,55,3+kk,"Fügnerova, Dvůr Králové nad Labem, okres Trutnov",50.4349188889,15.8149327778,0,0,0,,po rekonstrukci,castecne vybaveny
idnes,Prodej bytu 3+1 139 m²,20490000,139,3+1,"Mělnická, Praha 5 - Malá Strana",50.0799847265,14.4047064421,1,0,0,2,dobrý stav,nevybaveny
idnes,Prodej bytu 2+kk 46 m²,4590000,46,2+kk,"Zátavské nábř., Písek - Václavské Předměstí",49.3088751359,14.1278818072,0,1,0,1,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 3+kk 80 m²,9688290,80,3+kk,"Černý Důl, okres Trutnov",50.63496023466158,15.710593692180037,0,1,0,2,novostavba,nevybaveny
idnes,Prodej bytu 4+kk 125 m²,18900000,125,4+kk,"Františka Křížka, Praha 7 - Holešovice",50.09926,14.43053,1,0,0,1,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 2+kk 92 m²,17490000,92,2+kk,"Opatovická, Praha 1 - Nové Město",50.0794856,14.4170326,0,0,0,2,po rekonstrukci,castecne vybaveny
idnes,Prodej bytu 3+kk 71 m²,3990000,71,3+kk,"Tuchorazská, Český Brod, okres Kolín",50.064053,14.858521,0,0,0,1,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 2+1 52 m²,4590000,52,2+1,"Křimická, Plzeň - Skvrňany",49.7459772222,13.3476102778,0,0,0,,velmi dobrý stav,
idnes,Prodej bytu 2+1 64 m²,4150000,64,2+1,"Ahepjukova, Ostrava - Moravská Ostrava",49.83789346,18.261973033,1,1,0,1,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 3+1 51 m²,6290000,51,3+1,"Horoušanská, Nehvizdy, okres Praha-východ",50.117337,14.732274,0,1,0,,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 2+kk 48 m²,11990000,48,2+kk,"Orelská, Praha 10 - Vršovice",50.067515283552,14.457483307049,0,0,0,1,dobrý stav,
idnes,Prodej bytu 2+kk 51 m²,,51,2+kk,"Radlická, Praha 5 - Radlice",50.055183,14.381625,1,0,0,2,novostavba,nevybaveny
idnes,Prodej bytu 1+kk 39 m²,5339277,39,1+kk,"Bratislavská, Brno - Zábrdovice",49.199600987,16.619607667,1,1,0,3,projekt,nevybaveny
idnes,Prodej bytu 2+kk 64 m²,8200000,64,2+kk,"Žitavského, Praha 5 - Zbraslav",49.96761254,14.3944239731,0,0,1,2,po rekonstrukci,nevybaveny
idnes,Prodej bytu 2+kk 62 m²,9990000,62,2+kk,"Dělnická, Praha 7 - Holešovice",50.10325451874335,14.450196809385478,1,0,0,3,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 1+kk 16 m²,1990000,16,1+kk,"Jagellonská, Praha 3 - Vinohrady",50.079723371747725,14.454513214837318,0,0,0,,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 3+1 61 m²,,61,3+1,"Dírná, okres Tábor",49.2450522222,14.8429375,0,0,0,2,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 3+1 80 m²,,80,3+1,"Čejč, okres Hodonín",48.9501538,16.96327,0,0,0,1,po rekonstrukci,
idnes,Prodej bytu 1+kk 23 m²,5797000,23,1+kk,"Musílkova, Praha 5 - Košíře",50.0672575,14.3673241667,0,0,0,1,po rekonstrukci,nevybaveny
idnes,Prodej bytu 2+kk 35 m²,5090000,35,2+kk,"Čachrov - Javorná, okres Klatovy",49.2187175,13.3030808333,1,0,0,1,ve výstavbě,nevybaveny
idnes,Prodej bytu 3+1 66 m²,2799000,66,3+1,"Bučina, Prachovice, okres Chrudim",49.88964639824189,15.62572510770148,0,1,0,3,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 2+kk 61 m²,4850000,61,2+kk,"Chebská, Mariánské Lázně, okres Cheb",49.9656871,12.6950669,1,1,0,2,ve výstavbě,
idnes,Prodej bytu 3+1 77 m²,8190000,77,3+1,"Prostějovská, Brno - Slatina",49.1813743878,16.6895387334,1,1,0,1,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 2+kk 54 m²,8549000,54,2+kk,Praha,50.0845518563,14.4177812144,0,1,0,1,ve výstavbě,
idnes,Prodej bytu 3+kk 64 m²,3300000,64,3+kk,"Hájkova, Žatec, okres Louny",50.3286397958,13.5399694319,0,1,0,1,dobrý stav,
idnes,Prodej bytu 1+kk 28 m²,2990000,28,1+kk,"Chebská, Mariánské Lázně, okres Cheb",49.9656871,12.6950669,1,1,0,4,ve výstavbě,
idnes,Prodej bytu 3+kk 68 m²,9149000,68,3+kk,"Nehvizdy, okres Praha-východ",50.1305605856,14.7299336081,0,1,0,1,novostavba,
idnes,Prodej bytu 1+1 31 m²,4639000,31,1+1,"Deštné v Orlických horách, okres Rychnov nad Kněžnou",50.3046461166,16.3506456775,1,0,0,3,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 1+kk 28 m²,2990000,28,1+kk,"Chebská, Mariánské Lázně, okres Cheb",49.9656871,12.6950669,1,1,0,4,ve výstavbě,
idnes,Prodej bytu 2+kk 61 m²,7784000,61,2+kk,"Ondrova, Brno - Kníničky",49.2380600235,16.5295539327,1,1,0,1,novostavba,
idnes,Prodej bytu 2+kk 58 m²,9599000,58,2+kk,Praha 10 - Dubeč,50.0616046441,14.5904353408,0,1,0,1,ve výstavbě,
idnes,Prodej bytu 4+kk 96 m²,18490000,96,4+kk,Praha 10 - Uhříněves,50.026899,14.613713,1,1,1,3,ve výstavbě,nevybaveny
idnes,Prodej bytu 4+kk 160 m²,9361275,160,4+kk,"Torre de la Horadada, Španělsko",,,0,1,0,1,ve výstavbě,nevybaveny
idnes,Prodej bytu 3+kk 78 m²,8236200,78,3+kk,"U Hájenky, Ostrava - Slezská Ostrava",49.84435993,18.31201103,1,0,0,1,novostavba,nevybaveny
idnes,Prodej bytu 2+kk 54 m²,8599000,54,2+kk,Praha,50.0845518563,14.4177812144,0,1,0,1,ve výstavbě,
idnes,Prodej bytu 4+kk 272 m²,7899944,272,4+kk,"Los Alcázares, Murcia, Španělsko, Španělsko",,,1,1,0,1,ve výstavbě,vybaveny
idnes,Prodej bytu 3+kk 99 m²,2497500,99,3+kk,"Zborovská, Český Brod, okres Kolín",50.0772239731,14.8635885386,1,1,0,2,novostavba,nevybaveny
idnes,Prodej bytu 2+kk 52 m²,8363211,52,2+kk,"Voskovcova, Praha 5 - Hlubočepy",50.0290438889,14.3641566667,1,0,1,2,novostavba,nevybaveny
idnes,Prodej bytu 2+kk 41 m²,6890000,41,2+kk,"Písnická, Praha 4 - Kamýk",50.01800159135832,14.443827827129336,1,0,0,3,po rekonstrukci,nevybaveny
idnes,Prodej bytu 2+kk 58 m²,9730158,58,2+kk,"Voskovcova, Praha 5 - Hlubočepy",50.0290438889,14.3641566667,1,1,1,1,novostavba,nevybaveny
idnes,Prodej bytu 4+kk 234 m²,16169475,234,4+kk,"Estepona, Španělsko",,,0,1,0,2,velmi dobrý stav,
idnes,Prodej bytu 3+kk 130 m²,24801300,130,3+kk,"Marbella, Španělsko",,,0,1,0,2,velmi dobrý stav,
idnes,Prodej bytu 4+kk 155 m²,27840675,155,4+kk,"Nueva Andalucía, Španělsko",,,0,1,0,2,velmi dobrý stav,
idnes,Prodej bytu 4+kk 95 m²,24558150,95,4+kk,"Orihuela Costa, Španělsko",,,0,0,0,2,velmi dobrý stav,
idnes,Prodej bytu 3+kk 110 m²,23585550,110,3+kk,"Elviria, Španělsko",,,0,1,0,2,po rekonstrukci,
idnes,Prodej bytu 3+1 70 m²,1150000,70,3+1,"Dukelských hrdinů, Krupka - Maršov, okres Teplice",50.68730033569433,13.881378928577465,0,1,0,6,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 4+kk 180 m²,21761925,180,4+kk,"Alicante, Španělsko",,,0,0,0,2,velmi dobrý stav,
idnes,Prodej bytu 3+kk 89 m²,3598620,89,3+kk,"Alicante, Španělsko",,,0,0,0,2,velmi dobrý stav,
idnes,Prodej bytu 3+kk 108 m²,5875000,108,3+kk,"Smiřice - Rodov, okres Hradec Králové",50.3039558333,15.8304919444,0,0,1,1,novostavba,nevybaveny
idnes,Prodej bytu 3+1 97 m²,3150000,97,3+1,"Seifertova, Svitavy - Předměstí",49.75923510523637,16.473808080905794,0,0,0,1,po rekonstrukci,castecne vybaveny
idnes,Prodej bytu 1+kk 14 m²,6411000,14,1+kk,"Havelská, Praha 1 - Staré Město",50.084731343494,14.421116692414,1,0,0,3,po rekonstrukci,nevybaveny
idnes,Prodej bytu 3+1 90 m²,13891000,90,3+1,"Kubelíkova, Praha 3 - Žižkov",50.0823325029164,14.451052236466976,1,0,0,4,po rekonstrukci,nevybaveny
idnes,Prodej bytu atypického 110 m²,10900000,110,,"Elišky Přemyslovny, Praha 5 - Zbraslav",49.9690753,14.3885313,0,1,1,1,po rekonstrukci,
idnes,Prodej bytu 2+kk 68 m²,,68,2+kk,"Žilinská, Olomouc - Nová Ulice",49.595401565711136,17.23351319816911,1,0,1,2,novostavba,nevybaveny
idnes,Prodej bytu 3+kk 93 m²,12250000,93,3+kk,"Škvorecká, Úvaly, okres Praha-východ",50.0689959687,14.7333252178,1,1,0,2,novostavba,nevybaveny
idnes,Prodej bytu 4+kk 95 m²,12050000,95,4+kk,"Rolencova, Brno",49.1477217,16.6619736,0,1,0,2,novostavba,nevybaveny
idnes,Prodej bytu 3+kk 84 m²,15999000,84,3+kk,"U papírny, Praha 7 - Holešovice",50.1069693,14.4377354,1,1,0,1,ve výstavbě,
idnes,Prodej bytu 4+kk 77 m²,12490000,77,4+kk,"Hrubého, Praha 8 - Kobylisy",50.12901543928571,14.465676764275978,1,1,0,8,po rekonstrukci,
idnes,Prodej bytu 2+kk 63 m²,7500000,63,2+kk,"Elišky Přemyslovny, Praha 5 - Zbraslav",49.9690753,14.3885313,0,0,1,1,po rekonstrukci,
idnes,Prodej bytu 3+kk 72 m²,7850000,72,3+kk,"Komenského, Horoměřice, okres Praha-západ",50.1326655605,14.3474442364,0,1,0,1,velmi dobrý stav,vybaveny
idnes,Prodej bytu 2+kk 59 m²,6530000,59,2+kk,"Váňova, Kladno",50.1441188889,14.0997761111,1,1,0,1,novostavba,
idnes,Prodej bytu 3+kk 61 m²,5600000,61,3+kk,"Arbesova, Slaný, okres Kladno",50.231959466965755,14.06929678604278,0,1,0,3,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 2+kk 63 m²,9490000,63,2+kk,"Míšovická, Praha 5 - Zličín",50.05722267472777,14.283066286025162,0,1,1,1,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 2+kk 94 m²,5800000,94,2+kk,"Svahová, Karlovy Vary",50.2284681,12.8696004,0,0,0,2,po rekonstrukci,nevybaveny
idnes,Prodej bytu 2+kk 54 m²,8000000,54,2+kk,"Sedlčanská, Praha 4 - Michle",50.044076,14.455484,1,1,0,3,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 1+kk 48 m²,,48,1+kk,"Nádražní, Krnov - Pod Bezručovým vrchem, okres Bruntál",50.0888876,17.6848887,0,0,0,2,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 3+1 60 m²,1900000,60,3+1,"Sídliště, Rotava, okres Sokolov",50.3057458,12.5516571,1,1,0,7,velmi dobrý stav,
idnes,Prodej bytu 2+kk 56 m²,4851000,56,2+kk,"náměstí Sv. Vavřince, Horní Blatná, okres Karlovy Vary",50.3898842,12.7709245,0,0,0,2,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 2+kk 69 m²,6021000,69,2+kk,"náměstí Sv. Vavřince, Horní Blatná, okres Karlovy Vary",50.3898842,12.7709245,0,0,0,1,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 3+kk 62 m²,5950000,62,3+kk,"Nová Pec - Nové Chalupy, okres Prachatice",48.786254,13.959279,0,1,1,1,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 2+kk 59 m²,,59,2+kk,"Modrého, Praha 9 - Vysočany",50.10559039,14.52102708,1,1,0,1,novostavba,vybaveny
idnes,Prodej bytu 1+kk 29 m²,5250000,29,1+kk,"U družstev, Praha 4 - Nusle",50.054041084,14.441083793,0,0,0,1,před rekonstrukcí,castecne vybaveny
idnes,Prodej bytu 3+1 86 m²,12490000,86,3+1,"Na Celné, Praha 5 - Smíchov",50.071526,14.409292,1,1,0,3,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 4+kk 167 m²,60787500,167,4+kk,"Estepona, Málaga, Španělsko",,,1,1,0,2,novostavba,
idnes,Prodej bytu 5+kk 207 m²,89965500,207,5+kk,"Estepona, Málaga, Španělsko",,,1,1,0,2,novostavba,
idnes,Prodej bytu 2+1 54 m²,7300000,54,2+1,"Foerstrova, Brno - Žabovřesky",49.2166194975,16.5764726428,1,1,0,1,po rekonstrukci,castecne vybaveny
idnes,Prodej bytu 5+kk 240 m²,29900000,240,5+kk,"Na Skalce, Praha 5 - Smíchov",50.0669981,14.4002652,1,1,0,3,dobrý stav,
idnes,Prodej bytu 3+kk 69 m²,7923714,69,3+kk,"K Sportovnímu Areálu, Liberec - Liberec XXV-Vesec",50.7333027779,15.0657969832,1,1,0,1,novostavba,nevybaveny
idnes,Prodej bytu 1+kk 37 m²,4971000,37,1+kk,"Pec pod Sněžkou, okres Trutnov",50.69818,15.729445,0,0,0,1,velmi dobrý stav,vybaveny
idnes,Prodej bytu 1+kk 31 m²,6700000,31,1+kk,"Stočesova, Praha 6 - Ruzyně",50.091147,14.297048,1,1,0,4,novostavba,nevybaveny
idnes,Prodej bytu 2+kk 62 m²,5325000,62,2+kk,"Kpt. Jaroše, Tábor",49.420254,14.654876,0,1,0,3,po rekonstrukci,nevybaveny
idnes,Prodej bytu 4+kk 94 m²,11490000,94,4+kk,"Na Golfu, Beroun - Beroun-Závodí",49.97999,14.096971,0,1,0,2,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 1+kk 27 m²,5998000,27,1+kk,"Nekvasilova, Praha 8 - Karlín",50.095317,14.467169,1,0,0,6,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 2+1 43 m²,4000000,43,2+1,"Na Letné, Olomouc - Lazce",49.6048418898,17.2597311143,0,0,0,7,před rekonstrukcí,
idnes,Prodej bytu 2+kk 93 m²,2999000,93,2+kk,"Teplická, Děčín - Děčín IV-Podmokly",50.7759229,14.1957871,0,0,0,3,po rekonstrukci,vybaveny
idnes,Prodej bytu 3+1 70 m²,2900000,70,3+1,"Atletická, Sokolov",50.1732975,12.6466046,1,1,0,1,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 2+kk 43 m²,7300000,43,2+kk,"Pec pod Sněžkou, okres Trutnov",50.69818,15.729445,0,0,0,1,velmi dobrý stav,vybaveny
idnes,Prodej bytu 2+1 55 m²,2590000,55,2+1,"Sokolovská, Sokolov",50.1771017,12.6651459,0,1,0,2,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 4+kk 87 m²,12035925,87,4+kk,"Marbella, Málaga, Španělsko",,,1,1,0,2,novostavba,
idnes,Prodej bytu 3+kk 67 m²,3249999,67,3+kk,"Pod Nádražím, Nová Role, okres Karlovy Vary",50.2743612,12.7814375,0,0,0,2,velmi dobrý stav,vybaveny
idnes,Prodej bytu 1+1 42 m²,3990000,42,1+1,"Pionýrů, Frýdek-Místek - Místek",49.6816537,18.3410377,0,0,0,3,velmi dobrý stav,nevybaveny
idnes,Prodej bytu atypického 178 m²,16900000,178,,Praha 5 - Košíře,50.066918791426474,14.362328323033816,0,0,0,3,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 2+kk 39 m²,6590000,39,2+kk,"Zenklova, Praha 8 - Libeň",50.11572428454786,14.468560582109703,0,0,0,1,velmi dobrý stav,vybaveny
idnes,Prodej bytu 3+1 54 m²,3200000,54,3+1,"Elektrárenská, Ostrava - Svinov",49.8273661,18.2095511,0,0,1,1,před rekonstrukcí,
idnes,Prodej bytu 1+1 43 m²,3200000,43,1+1,"Sídliště Plešivec, Český Krumlov - Plešivec",48.8013644,14.3104179,1,0,0,2,před rekonstrukcí,castecne vybaveny
idnes,Prodej bytu 1+kk 29 m²,5100000,29,1+kk,"Zenklova, Praha 8 - Libeň",50.11572428454786,14.468560582109703,0,0,0,1,velmi dobrý stav,vybaveny
idnes,Prodej bytu 2+1 62 m²,5250000,62,2+1,"Dukelská, Benešov",49.7821312,14.683794,0,1,0,3,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 2+1 102 m²,5900000,102,2+1,"Hlavní třída, Mariánské Lázně, okres Cheb",49.9734379,12.7029257,0,1,0,2,po rekonstrukci,vybaveny
idnes,Prodej bytu 2+kk 57 m²,,57,2+kk,"Na Vyhlídce, Frýdek-Místek - Frýdek",49.6902688,18.3681264,1,1,0,2,velmi dobrý stav,
idnes,Prodej bytu 2+1 75 m²,3418800,75,2+1,"Hlavní třída, Ostrov, okres Karlovy Vary",50.3091625,12.9502148,0,1,0,2,velmi dobrý stav,
idnes,Prodej bytu 2+kk 67 m²,11849000,67,2+kk,"Návršní, Praha 4 - Krč",50.0396676911,14.4355002737,1,0,0,1,novostavba,nevybaveny
idnes,Prodej bytu 3+kk 137 m²,8972235,137,3+kk,"Finestrat, Alicante, Španělsko",,,1,1,1,2,novostavba,
idnes,Prodej bytu 2+kk 38 m²,5490000,38,2+kk,"Merklín - Pstruží, okres Karlovy Vary",50.3460398,12.8267724,0,0,0,1,po rekonstrukci,vybaveny
idnes,Prodej bytu 3+kk 66 m²,11099000,66,3+kk,Praha 10 - Strašnice,50.0646270469,14.5108615839,0,0,0,3,velmi dobrý stav,vybaveny
idnes,Prodej bytu 1+kk 33 m²,7600000,33,1+kk,"U papírny, Praha 7 - Holešovice",50.1069693,14.4377354,1,1,0,1,ve výstavbě,
idnes,Prodej bytu 2+1 61 m²,3690000,61,2+1,"Bratislavská, Břeclav",48.750818,16.8939616,0,0,0,2,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 2+kk 86 m²,9150400,86,2+kk,"Slavíkova, Jince, okres Příbram",49.7885722222,13.9780338889,0,0,0,1,novostavba,
idnes,Prodej bytu 3+1 73 m²,3150000,73,3+1,"Nová, Přimda, okres Tachov",49.6738469444,12.6764872222,0,1,0,3,velmi dobrý stav,
idnes,Prodej bytu 2+1 68 m²,3090000,68,2+1,"Valdštejnova, Cheb",50.0744481,12.3720767,0,0,0,1,velmi dobrý stav,
idnes,Prodej bytu 3+1 64 m²,4995000,64,3+1,"Pražská, Havlíčkův Brod",49.6138066,15.5770031,0,0,0,1,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 2+kk 43 m²,4613000,43,2+kk,"Kynského, Slaný, okres Kladno",50.2315840637,14.0854542572,0,0,0,1,po rekonstrukci,castecne vybaveny
idnes,Prodej bytu 2+1 54 m²,4790000,54,2+1,"Franze Kafky, Mariánské Lázně - Úšovice, okres Cheb",49.9482204,12.7066585,0,1,0,1,velmi dobrý stav,
idnes,Prodej bytu 2+1 82 m²,3985000,82,2+1,"Sokolovská, Karlovy Vary - Rybáře",50.2342585,12.8553803,1,1,0,4,po rekonstrukci,vybaveny
idnes,Prodej bytu 1+kk 51 m²,5859885,51,1+kk,"Slavíkova, Jince, okres Příbram",49.7885722222,13.9780338889,0,0,0,2,novostavba,
idnes,Prodej bytu 3+kk 78 m²,6805769,78,3+kk,"Finestrat, Alicante, Španělsko",,,1,1,0,2,novostavba,
idnes,Prodej bytu 2+kk 71 m²,7843360,71,2+kk,"Slavíkova, Jince, okres Příbram",49.7885722222,13.9780338889,0,0,0,,novostavba,
idnes,Prodej bytu 1+kk 47 m²,5483090,47,1+kk,"Slavíkova, Jince, okres Příbram",49.7885722222,13.9780338889,0,0,0,,novostavba,
idnes,Prodej bytu 3+kk 52 m²,8199000,52,3+kk,"Egyptská, Praha 6 - Vokovice",50.09764744097761,14.353944836476852,1,0,0,2,po rekonstrukci,castecne vybaveny
idnes,Prodej bytu 4+kk 77 m²,6399000,77,4+kk,"Bezručova, Mělník",50.35327055832193,14.48132469970119,1,1,0,4,po rekonstrukci,castecne vybaveny
idnes,Prodej bytu 2+kk 43 m²,7799000,43,2+kk,"Ke Krči, Praha 4 - Braník",50.03586134492701,14.411645608605717,0,0,0,2,po rekonstrukci,castecne vybaveny
idnes,Prodej bytu 2+kk 46 m²,2499000,46,2+kk,"Chebská, Karlovy Vary - Dvory",50.2289078,12.8343602,1,0,0,1,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 3+kk 53 m²,8299000,53,3+kk,"Etiopská, Praha 6 - Vokovice",50.09672624739883,14.355252167243792,1,0,0,2,po rekonstrukci,castecne vybaveny
idnes,Prodej bytu 2+kk 44 m²,6749000,44,2+kk,"Daškova, Praha 4 - Modřany",50.013281140228294,14.423390356734297,1,0,0,1,po rekonstrukci,castecne vybaveny
idnes,Prodej bytu 2+kk 39 m²,7199000,39,2+kk,"Průběžná, Praha 10 - Strašnice",50.06700199574395,14.496639246146813,0,0,0,3,po rekonstrukci,
idnes,Prodej bytu 1+kk 20 m²,4490000,20,1+kk,"Horní, Praha 4 - Nusle",50.0598518,14.4471598,0,0,0,1,velmi dobrý stav,
idnes,Prodej bytu 3+1 70 m²,,70,3+1,"Na Jezírku, Liberec - Liberec VI-Rochlice",50.7548278,15.0665451,0,0,0,1,velmi dobrý stav,
idnes,Prodej bytu 2+kk 38 m²,5600000,38,2+kk,"Zoubkova, Praha 5 - Smíchov",50.0674574,14.3977115,0,0,0,1,velmi dobrý stav,
idnes,Prodej bytu 1+kk 23 m²,3695000,23,1+kk,"Jana Želivského, Praha 3 - Žižkov",50.089057,14.468953,1,0,0,,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 1+kk 58 m²,19800000,58,1+kk,"Kamenická, Praha 7 - Holešovice",50.0981388,14.4279259,1,0,0,4,velmi dobrý stav,vybaveny
idnes,Prodej bytu 2+1 67 m²,2150000,67,2+1,"Seifertova, Ústí nad Labem - Neštěmice",50.6756357,14.108539,1,0,0,5,velmi dobrý stav,
idnes,Prodej bytu 2+kk 47 m²,7390000,47,2+kk,"Jana Želivského, Praha 3 - Žižkov",50.089057,14.468953,1,0,0,,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 2+kk 61 m²,6422670,61,2+kk,"Švermova, Liberec - Liberec X-Františkov",50.7632741,15.0381984,0,1,0,1,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 4+1 86 m²,3699000,86,4+1,"Rohová, Karlovy Vary - Rybáře",50.2362675,12.8398633,1,0,0,2,velmi dobrý stav,
idnes,Prodej bytu 1+kk 49 m²,5330300,49,1+kk,"Švermova, Liberec - Liberec X-Františkov",50.7632741,15.0381984,0,0,0,1,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 3+1 69 m²,,69,3+1,"Dvouletky, Zruč nad Sázavou, okres Kutná Hora",49.7466355,15.0894167,0,1,0,2,velmi dobrý stav,
idnes,Prodej bytu 3+1 122 m²,6299000,122,3+1,"Peřinova, Olomouc - Černovír",49.614283839565,17.256719567593,0,0,0,1,velmi dobrý stav,
idnes,Prodej bytu 2+1 56 m²,2470000,56,2+1,"Oderská, Hladké Životice, okres Nový Jičín",49.67786,17.9839727778,0,0,0,,velmi dobrý stav,
idnes,Prodej bytu 3+1 70 m²,8500000,70,3+1,"Heranova, Praha 5 - Stodůlky",50.045566,14.313301,1,1,0,1,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 1+kk 40 m²,,40,1+kk,"Nový Malín, okres Šumperk",49.9500325,17.0092561,0,0,0,1,velmi dobrý stav,
idnes,Prodej bytu 3+1 72 m²,4360000,72,3+1,"Národní, Prachatice - Prachatice II",49.0227085,13.9975064,1,1,0,1,po rekonstrukci,castecne vybaveny
idnes,Prodej bytu 2+kk 45 m²,9950000,45,2+kk,"Holečkova, Praha 5 - Smíchov",50.0736036,14.3938119,1,1,1,4,novostavba,castecne vybaveny
idnes,Prodej bytu 3+1 100 m²,5990000,100,3+1,"Ruská, Mariánské Lázně, okres Cheb",49.9757179,12.7019224,1,1,0,2,po rekonstrukci,nevybaveny
idnes,Prodej bytu 2+1 47 m²,3490000,47,2+1,"Na Sibiři, Ledeč nad Sázavou, okres Havlíčkův Brod",49.6990241,15.2728973,0,1,0,1,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 3+1 76 m²,5260000,76,3+1,"Benešovská, Nespeky, okres Benešov",49.8586006,14.6609287,0,0,0,2,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 3+kk 66 m²,9445000,66,3+kk,"Rohelova, Mělník",50.3486466,14.4823107,1,1,0,2,velmi dobrý stav,
idnes,Prodej bytu 3+1 71 m²,4390000,71,3+1,"Pod Makovým vrchem, Holýšov, okres Plzeň-Jih",49.5902397,13.109237,1,0,0,1,po rekonstrukci,nevybaveny
idnes,Prodej bytu 2+kk 64 m²,10998000,64,2+kk,"Magistrů, Praha 4 - Michle, okres Praha",50.0578277,14.4523749,1,0,0,5,novostavba,
idnes,Prodej bytu 3+kk 88 m²,9900000,88,3+kk,"Jerlínová, Brno - Žebětín",49.2105834577,16.4964281953,1,1,0,1,novostavba,nevybaveny
idnes,Prodej bytu 3+1 70 m²,4895000,70,3+1,"Na Spravedlnosti, Havlíčkův Brod",49.6153909,15.577848,1,1,0,5,velmi dobrý stav,vybaveny
idnes,Prodej bytu 2+kk 42 m²,3300000,42,2+kk,"Nad Dvorem, Karlovy Vary - Rybáře",50.2363407,12.839392,0,0,0,1,po rekonstrukci,castecne vybaveny
idnes,Prodej bytu 2+1 51 m²,4490000,51,2+1,"Klostermannova, Plzeň - Jižní Předměstí",49.7314856,13.374009,0,1,0,3,velmi dobrý stav,
idnes,Prodej bytu 3+1 141 m²,7990000,141,3+1,"Břehnická, Cheb",50.0778612,12.3558966,0,1,0,1,velmi dobrý stav,vybaveny
idnes,Prodej bytu 3+1 68 m²,6090000,68,3+1,"Zikova, Olomouc - Nové Sady",49.5778793,17.2548994,1,1,0,7,velmi dobrý stav,
idnes,Prodej bytu 1+kk 35 m²,4650000,35,1+kk,"Sdružení, Praha 4 - Nusle",50.057163107851,14.445460648484,0,0,0,,velmi dobrý stav,
