source,id,name,price_czk,area_m2,flat_type,locality,lat,lon,has_lift,has_balcony,has_parking,floor,condition,furnished,ownership
bezrealitky,1006710,Prodej bytu 2+1,210000,55,2+1,"Lugstr., , Sasko",50.97372,13.94181,0,1,1,3,po rekonstrukci,,
bezrealitky,995193,Prodej bytu 3+kk,7500000,89,3+kk,"Šantova, Olomouc - Olomouc-město, Olomoucký kraj",49.5881199,17.2589942,0,0,0,1,velmi dobry,nevybaveny,osobni
bezrealitky,1006556,Prodej bytu 2+kk,7999999,58,2+kk,"K Lesu, Praha - Kamýk",50.0110177,14.4463419,0,0,1,4,velmi dobry,castecne vybaveny,osobni
bezrealitky,1006588,Prodej bytu 1+kk,5990000,39,1+kk,"Francouzská, Brno - Zábrdovice, Jihomoravský kraj",49.2014676,16.617133,1,0,0,5,velmi dobry,vybaveny,osobni
bezrealitky,995207,Prodej bytu 2+kk,3200000,47,2+kk,"Honzíkova, Praha - Dolní Měcholupy",50.0678918,14.5551471,1,0,1,3,novostavba,nevybaveny,druzstevni
bezrealitky,1006577,Prodej bytu 2+kk,4950000,64,2+kk,"Dlouhá, Tišnov - Tišnov, Jihomoravský kraj",49.3525137,16.4311688,0,0,1,1,velmi dobry,castecne vybaveny,druzstevni
bezrealitky,1006570,Prodej bytu 3+kk,6249000,63,3+kk,"Havlíčkova, Mladá Boleslav - Mladá Boleslav, Středočeský kraj",50.4272883,14.9110605,1,0,0,7,velmi dobry,castecne vybaveny,osobni
bezrealitky,1002825,Prodej bytu 2+1,4600000,63,2+1,"Puklicova, České Budějovice - České Budějovice 3, Jihočeský kraj",48.9848518,14.4744552,1,0,0,7,dobry,castecne vybaveny,druzstevni
bezrealitky,968838,Prodej bytu 2+kk,5299000,46,2+kk,"Lonkova, Pardubice - Pardubice, Pardubický kraj",50.0461418,15.760035,1,0,1,3,velmi dobry,castecne vybaveny,osobni
bezrealitky,960227,Prodej bytu 3+kk,15000000,80,3+kk,"V Třešňovce, Praha - Hrdlořezy",50.0937121,14.4983841,1,0,1,6,novostavba,castecne vybaveny,osobni
bezrealitky,1006551,Prodej bytu 3+kk,4950000,51,3+kk,"Žižkova, Český Brod - Český Brod, Středočeský kraj",50.0723303,14.8567935,0,0,0,1,velmi dobry,castecne vybaveny,osobni
bezrealitky,995145,Prodej bytu 3+1,7000000,95,3+1,"Dr. Horákové, Poděbrady - Poděbrady, Středočeský kraj",50.147084,15.1152046,1,0,1,3,dobry,,osobni
bezrealitky,995143,Prodej bytu 1+kk,6500000,35,1+kk,"Tupolevova, Praha - Letňany",50.1333956,14.5052067,1,0,0,1,velmi dobry,castecne vybaveny,osobni
bezrealitky,997342,Prodej bytu 3+1,3500000,83,3+1,"Na Vinici I., Nepomuk - Nepomuk, Plzeňský kraj",49.491171,13.5863921,0,0,0,1,dobry,castecne vybaveny,osobni
bezrealitky,982703,Prodej bytu 2+kk,7092000,43,2+kk,"Františka Štěpánka, Praha - Hostivař",50.056817028651,14.541808789717,1,0,0,7,construction,castecne vybaveny,osobni
bezrealitky,941938,Prodej bytu 1+kk,6100000,51,1+kk,"V Borovičkách, Praha - Stodůlky",50.0594528,14.327091,0,0,1,1,velmi dobry,vybaveny,osobni
bezrealitky,1003678,Prodej bytu 3+1,7800000,75,3+1,"Janského, Praha - Stodůlky",50.0394972,14.3394728,1,0,1,5,velmi dobry,castecne vybaveny,druzstevni
bezrealitky,982669,Prodej bytu 3+kk,7414000,56,3+kk,"Arnošta Staňka, Praha - Hostivař",50.057305140173,14.54214950271,1,0,0,6,construction,castecne vybaveny,osobni
bezrealitky,995133,Prodej bytu 2+1,3450000,52,2+1,"Opavská, Ostrava - Poruba, Moravskoslezský kraj",49.83033145,18.183509682533,1,0,0,2,velmi dobry,castecne vybaveny,druzstevni
bezrealitky,982712,Prodej bytu 1+kk,5828000,34,1+kk,"Františka Štěpánka, Praha - Hostivař",50.056816978576,14.541810869816,1,0,0,2,construction,castecne vybaveny,osobni
bezrealitky,1006540,Prodej bytu 4+kk,7990000,80,4+kk,"Sportovní, Ivančice - Ivančice, Jihomoravský kraj",49.1018846,16.3675215,0,0,0,1,velmi dobry,castecne vybaveny,osobni
bezrealitky,984681,Prodej bytu 3+1,4050000,68,3+1,"Dlouhá, Slavičín - Slavičín, Zlínský kraj",49.0813968,17.8881376,0,0,1,4,velmi dobry,,osobni
bezrealitky,878034,Prodej bytu 2+kk,9800000,63,2+kk,"Dolní Morava - Velká Morava, Pardubický kraj",50.1571238,16.8157369,0,0,1,1,novostavba,vybaveny,osobni
bezrealitky,917373,Prodej bytu 2+kk,8200000,44,2+kk,"Jana Želivského, Praha - Žižkov",50.0892191,14.4687508,0,0,0,2,velmi dobry,,osobni
bezrealitky,1004153,Prodej bytu 2+kk,4390000,40,2+kk,"Holandská, Kladno - Kročehlavy, Středočeský kraj",50.1301245,14.1222072,1,0,1,7,dobry,castecne vybaveny,osobni
bezrealitky,1006529,Prodej bytu 4+kk,10999000,108,4+kk,"Lomená, Jesenice - Jesenice u Prahy, Středočeský kraj",49.97435,14.5079063,0,0,1,3,velmi dobry,,osobni
bezrealitky,1006466,Prodej bytu 5+1,198500,104,5+1,", Bavorsko",49.87812,12.33779,1,1,0,4,po rekonstrukci,,
bezrealitky,1006511,Prodej bytu 3+1,189000,81,3+1,", Sasko",50.99342,13.71727,0,1,0,0,dobry,,
bezrealitky,1006340,Prodej bytu 3+1,390000,84,3+1,", Bavorsko",49.02479,12.17297,0,1,1,1,po rekonstrukci,,
bezrealitky,883240,Prodej bytu 2+1,6900000,44,2+1,"Psohlavců, Praha - Braník",50.0270103,14.4266827,1,0,0,8,dobry,castecne vybaveny,osobni
bezrealitky,950098,Prodej bytu 3+kk,9490000,110,3+kk,"Balbínova, Olomouc - Hejčín, Olomoucký kraj",49.6045485,17.2342404,0,0,1,3,velmi dobry,castecne vybaveny,osobni
bezrealitky,866479,Prodej bytu 2+kk,3490000,52,2+kk,"Černá - Černá, Kraj Vysočina",49.4240788,15.8649325,0,0,1,1,po rekonstrukci,vybaveny,osobni
bezrealitky,994850,Prodej bytu 4+kk,13600000,103,4+kk,"Dygrýnova, Praha - Černý Most",50.1041877,14.5715043,1,0,1,7,velmi dobry,,osobni
bezrealitky,1006212,Prodej bytu 2+1,4490000,69,2+1,"Havlíčkova, Jihlava - Jihlava, Kraj Vysočina",49.4124658,15.5955251,0,0,0,2,velmi dobry,castecne vybaveny,osobni
bezrealitky,1006227,Prodej bytu 2+kk,8890000,54,2+kk,"K Berance, Praha - Horní Počernice",50.1125355,14.6262571,0,1,1,1,novostavba,,osobni
bezrealitky,1006232,Prodej bytu 2+kk,6490000,50,2+kk,"Harrachov - Harrachov, Liberecký kraj",50.7803363,15.408366,1,0,1,2,velmi dobry,vybaveny,osobni
bezrealitky,1006228,Prodej bytu 1+1,7790000,41,1+1,"Na Zbořenci, Praha - Nové Město",50.0770098,14.4170545,1,0,0,3,velmi dobry,castecne vybaveny,osobni
bezrealitky,1006205,Prodej bytu 1+kk,5750000,26,1+kk,"Perucká, Praha - Vinohrady",50.0688117,14.4379424,1,0,0,5,velmi dobry,vybaveny,osobni
bezrealitky,983086,Prodej bytu 3+1,6950000,60,3+1,"Veltrusy - Veltrusy, Středočeský kraj",50.2710734,14.3277379,0,0,0,2,velmi dobry,nevybaveny,osobni
bezrealitky,1006197,Prodej bytu 3+kk,2100000,77,3+kk,"Hlinsko - Chlum u Hlinska, Pardubický kraj",49.7184238,15.86152,0,0,1,1,pred rekonstrukci,castecne vybaveny,druzstevni
bezrealitky,1003579,Prodej bytu 2+kk,7220000,45,2+kk,"U Továren, Praha - Hostivař",50.0563773,14.5425782,1,0,1,2,novostavba,nevybaveny,osobni
bezrealitky,1004157,Prodej bytu 2+kk,7000000,43,2+kk,"Kettnerova, Praha - Stodůlky",50.0465849,14.322746,1,0,0,2,dobry,castecne vybaveny,osobni
bezrealitky,1006158,Prodej bytu 1+1,3700000,49,1+1,"Sázavská, Světlá nad Sázavou - Světlá nad Sázavou, Kraj Vysočina",49.6670771,15.4027347,0,0,1,1,velmi dobry,,osobni
bezrealitky,994834,Prodej bytu 3+kk,6700000,82,3+kk,"Dubinská, Pardubice - Studánka, Pardubický kraj",50.0464098,15.8138282,1,0,0,5,novostavba,,osobni
bezrealitky,994802,Prodej bytu 1+1,8500000,58,1+1,"Veletržní, Praha - Holešovice",50.1015999,14.4309391,1,0,0,2,pred rekonstrukci,castecne vybaveny,osobni
bezrealitky,994433,Prodej bytu 1+1,2950000,24,1+1,"Gen. Sochora, Ostrava - Poruba-sever, Moravskoslezský kraj",49.83378835,18.186010759222,0,0,0,1,dobry,castecne vybaveny,osobni
bezrealitky,602156,Prodej bytu 3+kk,14760000,130,3+kk,"Škroupova, Karlovy Vary, Karlovarský kraj",50.219417,12.883056,1,1,1,2,novostavba,castecne vybaveny,osobni
bezrealitky,994768,Prodej bytu 5+1,11750000,119,5+1,"Dominova, Praha - Stodůlky",50.0529129,14.3417717,1,0,0,7,dobry,castecne vybaveny,osobni
bezrealitky,997435,Prodej bytu 2+1,5953100,74,2+1,"Luďka Matury, Pardubice - Studánka, Pardubický kraj",50.0424376,15.8067123,1,0,1,2,velmi dobry,,osobni
bezrealitky,936266,Prodej bytu 2+kk,7990000,47,2+kk,"Slávy Horníka, Praha - Košíře",50.0682839,14.368269,0,0,0,1,velmi dobry,castecne vybaveny,osobni
bezrealitky,994434,Prodej bytu 3+1,8490000,82,3+1,"Kukelská, Praha - Hloubětín",50.1061082,14.5528579,1,0,0,1,pred rekonstrukci,nevybaveny,osobni
bezrealitky,1006025,Prodej bytu 2+1,239000,71,2+1,Meußlitzer Straße Dresden Leuben Sachsen 01259,51.01158,13.84826,0,0,1,3,po rekonstrukci,,
bezrealitky,1005321,Prodej bytu 2+kk,7300000,50,2+kk,"Na Jezerce, Praha - Nusle",50.0555849,14.4425022,0,0,0,1,po rekonstrukci,castecne vybaveny,osobni
bezrealitky,1004154,Prodej bytu 2+1,2599000,62,2+1,"Mánesova, Sokolov - Sokolov, Karlovarský kraj",50.1737982,12.6764889,1,0,1,7,velmi dobry,castecne vybaveny,osobni
bezrealitky,978572,Prodej bytu 2+kk,9900000,46,2+kk,"Heinemannova, Praha - Dejvice",50.1119638,14.3917959,1,0,0,4,velmi dobry,castecne vybaveny,osobni
bezrealitky,994386,Prodej bytu 2+1,4100000,70,2+1,"Franze Kafky, Mariánské Lázně - Úšovice, Karlovarský kraj",49.9483491,12.7059498,0,0,1,1,velmi dobry,,osobni
bezrealitky,1005675,Prodej bytu 3+kk,13490000,88,3+kk,"Spojovací, Praha - Vysočany",50.1001759,14.4920788,1,0,1,3,novostavba,nevybaveny,osobni
bezrealitky,1005800,Prodej bytu 3+1,9990000,85,3+1,"Hlinky, Brno - Staré Brno, Jihomoravský kraj",49.1898381,16.5855121,0,0,1,2,velmi dobry,castecne vybaveny,osobni
bezrealitky,1005777,Prodej bytu 2+1,4250000,54,2+1,"U Hřbitova, Jihlava - Jihlava, Kraj Vysočina",49.3910478,15.5747125,0,0,0,4,dobry,castecne vybaveny,osobni
bezrealitky,981890,Prodej bytu 3+1,12980000,84,3+1,"Novákových, Praha - Libeň",50.103273,14.4746894,1,0,0,2,po rekonstrukci,nevybaveny,osobni
bezrealitky,994369,Prodej bytu 3+kk,9745000,65,3+kk,"Pernerova, Praha - Karlín",50.090539,14.4505833,0,0,0,3,velmi dobry,castecne vybaveny,druzstevni
